"Disease","Vaccine","Minimum age","Maximum age","Dose","Route of administration","Composition","Indication"
"Tubercolosis","Tubervac","1 month","indefinite","0.1ml","Intradermal Injection","Live, attenuated BCG Vaccine (Bacillus Calmette-Guerin Strain)

Each 1 ml contains between
2 x 106 and 8 x 106 Colony Forming Units (C.F.U.)
Diluent: Sodium Chloride Injection I.P.","For the prevention of Tuberculosis"
"Tetanus","Tetanus Vaccine (Adsorbed)","1 month","18 years","0.5ml","Intramuscular Injection","Each dose of 0.5 ml contains:
Tetanus Toxoid ≥ 5 Lf (≥ 40 IU)
Adsorbed on Aluminium Phosphate, Al+++ ≤ 1.25 mg
Preservative: 0.005% Thiomersal","For the immunization of infants, children and adults of all ages For the people at greater risk at work eg. gardeners, athletes, farmers, laboratory staff etc. For women of childbearing age and pregnant women to prevent neonatal tetanus."
"Tetanus","Dual Antigen","1 month","7 years","0.5ml","Intramuscular Injection
","Each single 0.5 ml dose contains
Diphtheria Toxoid ≤ 25 Lf (≥ 30 IU)
Tetanus Toxoid ≥ 5 Lf (≥ 40 IU)
Adsorbed on Aluminium Phosphate, Al+++ ≤ 1.25 mg
Preservative: 0.005% Thiomersal","For the prevention of diphtheria and tetanus in children less than 7 years of age when pertussis antigens is contraindicated or should not be used."
"Diptheria","Dual Antigen","1 month","7 years","0.5ml","Intramuscular Injection
","Each single 0.5 ml dose contains
Diphtheria Toxoid ≤ 25 Lf (≥ 30 IU)
Tetanus Toxoid ≥ 5 Lf (≥ 40 IU)
Adsorbed on Aluminium Phosphate, Al+++ ≤ 1.25 mg
Preservative: 0.005% Thiomersal","For the prevention of diphtheria and tetanus in children less than 7 years of age when pertussis antigens is contraindicated or should not be used."
"Tetanus","SII Td-Vac","1 month","7 years","0.5ml","Intramuscular Injection
","Each single 0.5 ml human dose contains
Diphtheria Toxoid ≤ 5 Lf (≥ 2 IU)
Tetanus Toxoid ≥ 5 Lf (≥40 IU)
Adsorbed on Aluminium Phosphate, Al+++ ≤ 1.25 mg
Preservative: 0.005% Thiomersal","Indicated for primary vaccination and revaccination of adults and adolescents having contraindications of Pertussis antigen. Primary vaccination and revaccination of children older than 7 years.
"
"Diptheria","SII Td-Vac","7 years","indefinite","0.5 ml","Intramuscular Injection
","Each single 0.5 ml dose contains
Diphtheria Toxoid ≤ 25 Lf (≥ 30 IU)
Tetanus Toxoid ≥ 5 Lf (≥ 40 IU)
Adsorbed on Aluminium Phosphate, Al+++ ≤ 1.25 mg
Preservative: 0.005% Thiomersal","For the prevention of diphtheria and tetanus in children less than 7 years of age when pertussis antigens is contraindicated or should not be used."
"Rabies","Rabivax-S","indefinite","indefinite","0.1 ml","Intramuscular & Intra-dermal.","","RABIVAX-S is indicated for the prevention of rabies in children and adults. It can be used before or after exposure, as a primary immunization or as a booster dose."
"Measles","Tresivac","9 month","6 years","0.5 ml","Subcutaneous injection
","The reconstituted vaccine contains in each single human dose of 0.5 ml:
Not less than 1000 CCID50 of Measles virus
Not less than 5000 CCID50 of Mumps virus
Not less than 1000 CCID50 of Rubella virus","For active immunization against Measles, Mumps and Rubella in infants & children, adolescents and young adults at risk."
"Mumps","Tresivac","9 month","6 years","0.5 ml","Subcutaneous injection
","The reconstituted vaccine contains in each single human dose of 0.5 ml:
Not less than 1000 CCID50 of Measles virus
Not less than 5000 CCID50 of Mumps virus
Not less than 1000 CCID50 of Rubella virus","For active immunization against Measles, Mumps and Rubella in infants & children, adolescents and young adults at risk."
"Rubella","Tresivac","9 month","6 years","0.5 ml","Subcutaneous injection
","The reconstituted vaccine contains in each single human dose of 0.5 ml:
Not less than 1000 CCID50 of Measles virus
Not less than 5000 CCID50 of Mumps virus
Not less than 1000 CCID50 of Rubella virus","For active immunization against Measles, Mumps and Rubella in infants & children, adolescents and young adults at risk."
